Calibration,P1_X,P1_Y,P1_Z,P2_X,P2_Y,P2_Z,P3_X,P3_Y,P3_Z
231018_Calib04,7.60317259,5.19403234,0.814623728,6.5429719,3.80587397,1.829595256,0.9152025,3.15119206,2.37755334
231025_Calib07,7.738944777,3.985270918,2.72596519,6.624092353,2.399654732,3.421468219,0.680358101,2.130565986,3.473667977
231102_Calib01,10.36909499,6.740396299,1.725024945,8.07924667,5.285376518,2.423916348,2.331021288,7.497045177,1.259904221
231103_Calib01,8.434926722,5.51323157,2.629793388,5.396653232,4.320644106,3.277567924,1.330088055,7.87889281,1.178418817
231106_Calib02,7.935527632,8.774208385,0.523735889,7.183371184,7.496783432,1.306008875,1.394468234,7.446640009,1.286734103
231107_Calib01,8.498311923,7.78012787,1.372910211,6.440110815,6.416477926,2.418089086,-0.175526912,7.276530567,1.695435008
231108_Calib04,9.000484542,6.346328347,2.035246736,7.644025584,4.795329502,2.988505723,1.260416767,5.314106046,2.594777153
231110_Calib02,8.327947227,6.759310812,1.785969871,6.88770899,5.342130417,2.643611306,0.815541883,5.222150818,2.666505313
231111_Calib02,8.675359857,9.47148758,0.047236868,7.113999611,8.231081537,0.967430305,0.574275912,8.89887996,0.404151538
231113_Calib03,9.028805614,5.909595624,3.084082169,7.494253691,4.520335545,4.253695623,0.330490212,4.423050486,4.243572046
231115_Calib11,6.776947262,5.388510233,2.679866413,5.34034548,4.266238919,3.386875861,4.14917584,5.55204001,2.5571077
231116_Calib07,5.625193304,3.485135545,2.528903717,4.472715995,2.881566959,3.030661693,1.2622121,4.244175039,1.983432498
231116_Calib10,9.98688189,9.78798592,-0.2613258,8.408839864,8.701441632,0.714841257,3.339420958,10.18326477,-0.704822502
231116_Calib11,6.653039894,6.826205403,2.161977119,5.221843004,5.702859308,3.050585728,-0.130819724,6.37531343,2.445155556
231116_Calib13,12.2966497,7.084300132,2.147656211,10.89648207,5.880634907,3.180749501,5.465806683,6.888078203,2.236405441
231117_Calib01,10.18160315,6.506618015,2.326984188,4.349887019,6.386658242,2.365585674,3.758522151,8.40459341,0.83766095
231117_Calib02,9.165173682,5.395809334,3.022433904,7.657462495,4.046296193,3.985336153,3.433904517,6.475512995,2.189316301
231117_Calib03,5.155096383,9.587239851,-0.109091128,3.990303171,8.531647107,0.758924561,-0.648791788,9.959935583,-0.468302961
231118_Calib06,6.614650534,5.031070899,2.802297621,5.16968301,3.931182456,3.46887787,1.697890518,6.275837767,1.994391692
231120_Calib01,7.778362199,3.419779601,4.401159182,2.960126014,3.513234619,4.19652584,2.838515942,5.194063955,3.015509267
231120_Calib03,7.910323673,6.078295418,2.290392859,15.33976045,6.296640034,2.197897007,2.162791494,6.237374521,2.127255744
231120_Calib07,4.731428789,6.965843842,1.759336606,3.79983798,6.129834467,2.332280249,0.912263635,7.923763457,1.080835461
231121_Calib01,7.850333096,4.590470553,4.129449168,3.285445924,4.751255645,3.91426554,2.962503216,6.572894599,2.348891184
231121_Calib03,10.99382757,9.4507917,0.173453556,9.253161884,8.139438567,1.12476089,3.716042612,9.613030427,-0.008340458
231121_Calib04,8.859232959,5.16583659,2.474756382,5.852310738,5.089638754,2.491888591,1.911207818,7.655446186,1.055995722
231121_Calib06,8.52892975,9.611695298,0.007117252,0.029961686,8.521426407,0.641117842,3.679112031,7.8205643,1.121573568
231122_Calib03,6.799913281,5.272182604,3.074490964,0.9222732,7.07873394,1.73761547,7.00076809,4.18428369,3.83775911
