Species,ID,Mass,SVL,BL,Arm_Length,Leg_Length,Hand_Area,Foot_Area,Trial,Date,Calibration,Frame_Rate,Decimation,Incline,Speed,Hind_Stride_Length,Fore_Stride_Length,Fore_Duty_Factor,Hind_Duty_Factor,Fore_Stride_Dur,Hind_Stride_Dur,Fore_Stride_Freq,Hind_Stride_Freq,Hand_Spread,Foot_Spread
Aneides aeneus,Aaen11,1.06,3.7,7.6,0.759671411,0.791489582,0.07658,0.13406,Aaen11_45deg01,3/5/24,240305_Calib01,400,1,45,3.963563055,2.244823791,2.209027235,0.867256637,0.866071429,0.565,0.56,1.769911504,1.785714286,102.776,127.819
Aneides aeneus,Aaen11,1.06,3.7,7.6,0.764055654,0.790495863,0.07658,0.13406,Aaen11_45deg02,3/5/24,240305_Calib01,400,1,45,4.343925268,1.978275426,1.904526746,0.870967742,0.875,0.465,0.46,2.150537634,2.173913043,114.254,126.642
Aneides aeneus,Aaen11,1.06,3.7,7.6,0.748053554,0.776885469,0.07658,0.13406,Aaen11_45deg03,3/5/24,240305_Calib01,400,1,45,5.575013179,2.253206071,2.124311792,0.832214765,0.87037037,0.3725,0.405,2.684563758,2.469135802,106.79,116.513
Aneides aeneus,Aaen11,1.06,3.7,7.6,0.754057549,0.806746112,0.07658,0.13406,Aaen11_45deg04,3/5/24,240305_Calib01,400,1,45,6.138143502,2.330911506,2.212549164,0.866197183,0.849056604,0.355,0.3975,2.816901408,2.51572327,109.024,127.398
Aneides aeneus,Aaen11,1.06,3.7,7.6,0.747995019,0.809365029,0.07658,0.13406,Aaen11_45deg05,3/5/24,240305_Calib01,400,1,45,5.584793052,2.213268382,2.198951622,0.860759494,0.864197531,0.395,0.405,2.53164557,2.469135802,113.05,119.067
Aneides aeneus,Aaen11,1,3.7,7.6,0.748745759,0.821622545,0.07658,0.13406,Aaen11_80deg01,3/4/24,240304_Calib03,400,1,80,8.300974289,2.405301946,2.442895067,0.837606838,0.844262295,0.2925,0.305,3.418803419,3.278688525,106.679,121.293
Aneides aeneus,Aaen11,1,3.7,7.6,0.742140286,0.810404446,0.07658,0.13406,Aaen11_80deg02,3/4/24,240304_Calib03,400,1,80,3.824418366,2.325949246,2.27616036,0.887931034,0.88372093,0.58,0.645,1.724137931,1.550387597,101.181,119.985
Aneides aeneus,Aaen11,1,3.7,7.6,0.735616946,0.817612586,0.07658,0.13406,Aaen11_80deg03,3/4/24,240304_Calib03,400,1,80,3.365101895,2.438933024,2.392593713,0.858181818,0.882943144,0.6875,0.7475,1.454545455,1.337792642,105.611,121.759
Aneides aeneus,Aaen11,1,3.7,7.6,0.745296794,0.777540021,0.07658,0.13406,Aaen11_80deg04,3/4/24,240304_Calib03,400,1,80,1.544010997,2.182669636,1.979313487,0.897435897,0.894551845,1.365,1.4225,0.732600733,0.702987698,103.459,122.155
Aneides aeneus,Aaen11,1,3.7,7.6,0.740536222,0.770712084,0.07658,0.13406,Aaen11_80deg05,3/4/24,240304_Calib03,400,1,80,1.324878076,2.149370311,2.224941758,0.896103896,0.929443691,1.54,1.8425,0.649350649,0.542740841,99.101,120.605
