ID,Mass,SVL,BL,ManusArea,PesArea
Aaen06,1.3,4.45,9.7,0.12476,0.23645
Aaen07,2.4,6,11.35,0.20431,0.36011
Aaen08,0.7,3.3,6.8,0.07246,0.12083
Aaen09,0.6,3.4,7,0.07183,0.11439
Aaen10,0.7,3.5,7.3,0.07503,0.12273
Aaen11,1.06,3.7,7.6,0.07658,0.13395
Aaen14,2.7,6,12.1,0.17214,0.30459
Aaen17,1.88,4.7,10.7,0.12565,0.22399
Aaen20,0.88,3.85,7.1,0.07585,0.12727
Aaen21,0.83,3.9,7.8,0.0709,0.11936
Aaen22,1.41,4.55,10.25,0.11058,0.17728
Aaen23,1.51,5,10.5,0.14511,0.24579
Aaen25,1.63,5,11.1,0.11524,0.20961
Aaen27,1.1,4.1,8.1,0.08441,0.14037
Aaen28,1.51,4.9,10.6,0.11464,0.19253
Aaen29,1.85,5.4,10.4,0.15012,0.25469
Aaen30,2.1,5.85,11.3,0.14702,0.24064
Ahar01,1.49,4.6,8.4,0.05484,0.10849
Ahar02,1,3.95,71,0.05267,0.09141
Ahar03,1.82,4.8,8.55,0.07267,0.12763
Ahar04,0.97,4.5,7.9,0.05597,0.1001
Ahar05,2.46,5.7,10.2,0.09485,0.1769
Ahar06,1.61,5,8.4,0.0669,0.10794
Ahar07,1.08,4.05,8,0.05012,0.09343
Ahar08,2.11,5.35,10.2,0.09638,0.16922
Ahar09,3.14,5.8,10.6,0.10577,0.18441
Ahar10,1.13,4.45,7.9,0.05679,0.09875
Alug01,0.46,2.9,5,0.046,0.07647
Alug02,6.18,6.8,11.5,0.2116,0.37456
Alug03,5.69,6.8,11.2,0.22685,0.38723
Alug04,7.93,7.6,13,0.2733,0.48349
Alug05,1.83,4.95,8.3,0.11542,0.18045
Alug06,2.04,5.25,8.9,0.12323,0.20648
Alug07,1.61,4.95,8.5,0.11093,0.17956
Alug08,1,3.7,6.35,0.06978,0.11703
Alug09,0.78,3.5,6.05,0.06966,0.10756
Alug10,8.37,7,12.9,0.28593,0.49946
Pglu01,0.53,3.4,6.75,0.0399,0.0746
Pglu02,2,5.2,11,0.08817,0.16942
Pglu03,4.5,6.9,13.5,0.12308,0.23593
Pglu04,2,5,10.7,0.08667,0.17439
Pglu05,1.7,4.8,9.7,0.08308,0.16941
Pglu06,2.76,5.3,11.4,0.09293,0.19541
Pglu07,4.83,5.9,13,0.11702,0.24155
Pglu08,0.71,4,7.8,0.04291,0.09193
Pglu09,1.09,4.2,8.2,0.0615,0.11357
Pglu10,5.71,6.8,14.8,0.14393,0.26009
