Species,ID,Mass,SVL,BL,Hand_Area,Foot_Area,Trial,Date,Calibration,Frame_Rate,Decimation,Incline,Hind_Stance_Start,Hind_Stance_End,Hind_Swing_End,Fore_Stance_Start,Fore_Stance_End,Fore_Swing_End,Hand_Spread,Foot_Spread
Aneides aeneus,Aaen11,1.06,3.7,7.6,0.07658,0.13406,Aaen11_45deg01,3/5/24,240305_Calib01,400,1,45,5,198,229,90,285,316,102.776,127.819
Aneides aeneus,Aaen11,1.06,3.7,7.6,0.07658,0.13406,Aaen11_45deg02,3/5/24,240305_Calib01,400,1,45,7,167,191,88,249,274,114.254,126.642
Aneides aeneus,Aaen11,1.06,3.7,7.6,0.07658,0.13406,Aaen11_45deg03,3/5/24,240305_Calib01,400,1,45,4,144,166,82,205,231,106.79,116.513
Aneides aeneus,Aaen11,1.06,3.7,7.6,0.07658,0.13406,Aaen11_45deg04,3/5/24,240305_Calib01,400,1,45,6,140,165,78,200,220,109.024,127.398
Aneides aeneus,Aaen11,1.06,3.7,7.6,0.07658,0.13406,Aaen11_45deg05,3/5/24,240305_Calib01,400,1,45,4,143,166,70,205,228,113.05,119.067
Aneides aeneus,Aaen11,1,3.7,7.6,0.07658,0.13406,Aaen11_80deg01,3/4/24,240304_Calib03,400,1,80,4,106,126,56,153,173,106.679,121.293
Aneides aeneus,Aaen11,1,3.7,7.6,0.07658,0.13406,Aaen11_80deg02,3/4/24,240304_Calib03,400,1,80,7,234,265,109,314,341,101.181,119.985
Aneides aeneus,Aaen11,1,3.7,7.6,0.07658,0.13406,Aaen11_80deg03,3/4/24,240304_Calib03,400,1,80,7,270,306,127,362,402,105.611,121.759
Aneides aeneus,Aaen11,1,3.7,7.6,0.07658,0.13406,Aaen11_80deg04,3/4/24,240304_Calib03,400,1,80,9,517,578,203,692,749,103.459,122.155
Aneides aeneus,Aaen11,1,3.7,7.6,0.07658,0.13406,Aaen11_80deg05,3/4/24,240304_Calib03,400,1,80,4,688,741,288,839,904,99.101,120.605
Aneides aeneus,Aaen11,1.06,3.7,7.6,0.07658,0.13406,Aaen11_Flat01,3/5/24,240305_Calib02,400,1,0,4,120,137,57,173,194,115.241,120.386
Aneides aeneus,Aaen11,1.06,3.7,7.6,0.07658,0.13406,Aaen11_Flat02,3/5/24,240305_Calib02,400,1,0,4,107,125,59,157,178,110.163,127.677
Aneides aeneus,Aaen11,1.06,3.7,7.6,0.07658,0.13406,Aaen11_Flat03,3/5/24,240305_Calib03,400,1,0,3,86,106,44,141,160,107.231,120.338
Aneides aeneus,Aaen11,1.06,3.7,7.6,0.07658,0.13406,Aaen11_Flat04,3/5/24,240305_Calib03,400,1,0,3,101,120,46,154,175,113.202,118.649
Aneides aeneus,Aaen11,1.06,3.7,7.6,0.07658,0.13406,Aaen11_Flat05,3/5/24,240305_Calib04,400,1,0,3,100,120,47,153,176,108.175,121.903
Aneides aeneus,Aaen11,1,3.7,7.6,0.07658,0.13406,Aaen11_Vert01,3/4/24,240304_Calib06,400,1,90,9,875,976,355,1214,1348,94.78,113.162
Aneides aeneus,Aaen11,1,3.7,7.6,0.07658,0.13406,Aaen11_Vert02,3/4/24,240304_Calib06,400,1,90,3,360,393,132,505,592,105.777,114.779
Aneides aeneus,Aaen11,1,3.7,7.6,0.07658,0.13406,Aaen11_Vert03,3/4/24,240304_Calib06,400,1,90,4,599,674,247,773,840,105.55,115.573
Aneides aeneus,Aaen11,1,3.7,7.6,0.07658,0.13406,Aaen11_Vert04,3/4/24,240304_Calib06,400,1,90,4,231,259,95,314,343,106.23,124.462
Aneides aeneus,Aaen11,1,3.7,7.6,0.07658,0.13406,Aaen11_Vert05,3/4/24,240304_Calib06,400,1,90,5,387,419,162,494,524,116.782,126.841
Aneides aeneus,Aaen14,3.1,6,12.1,0.17214,0.31722,Aaen14_45deg01,11/8/23,231108_Calib04,400,1,45,15,561,664,267,770,862,102.512,128.623
